FeatureType,date,IMONum,deaths,missings,severeInjuries,description,latitude,longitude,subtype_field,subtype_value,gml_pos
HullAndEngineAccessoryDamage,20240731,모모호,0,0,0,모터보트 모모호 기관손상사건,37.0431,126.4542,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4542 37.0431
FloodingAndSinking,20240731,진가호,0,0,0,모터보트 진가호 전복사건,37.1806,126.625,floodingAndSinkingType,capsizing,126.625 37.1806
NavigationalIssues,20240730,강남호,0,0,0,일반화물선 강남호 운항저해사건,37.5875,126.2897,navigationalIssuesType,sailing hinderance,126.2897 37.5875
HullAndEngineAccessoryDamage,20240731,강산호,0,0,0,낚시어선 강산호 기관손상사건,37.4017,126.5775,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.5775 37.4017
HullAndEngineAccessoryDamage,20240731,대영호,0,0,0,어선 대영호 기관손상사건,36.3892,126.4292,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4292 36.3892
HullAndEngineAccessoryDamage,20240802,성해호,0,0,0,기타선 성해호 기관손상사건,35.8239,126.4756,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4756 35.8239
NavigationalIssues,20240806,코리아피싱호,0,0,0,낚시어선 코리아피싱호 운항저해사건,36.2189,126.4931,navigationalIssuesType,sailing hinderance,126.4931 36.2189
OtherIncident,20240805,리버 컨피던스,0,0,0,산적화물선 리버 컨피던스 해양오염사건,37.5025,126.6308,otherIncidentType,other incident,126.6308 37.5025
HullAndEngineAccessoryDamage,20240805,힐링호,0,0,0,낚시어선 힐링호 기관손상사건,36.2756,126.4689,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4689 36.2756
HullAndEngineAccessoryDamage,20240805,광진호,0,0,0,어선 광진호 추진축계 손상사건,37.4981,126.5967,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.5967 37.4981
HullAndEngineAccessoryDamage,20240803,힐링호,0,0,0,모터보트 힐링호 기관손상사건,35.8319,126.4747,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4747 35.8319
HullAndEngineAccessoryDamage,20240803,명일1호,0,0,0,어선 명일1호 기관손상사건,35.9011,126.2694,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2694 35.9011
HullAndEngineAccessoryDamage,20240803,뉴라이브호,0,0,0,어선 뉴라이브호 기관손상사건,35.8667,126.1833,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.1833 35.8667
HullAndEngineAccessoryDamage,20240803,대운1호,0,0,0,어선 대운1호 추진축계 손상사건,37.4197,126.4011,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4011 37.4197
HullAndEngineAccessoryDamage,20240802,웨이브호,0,0,0,모터보트 웨이브호 기관손상사건,36.7192,126.1133,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.1133 36.7192
FloodingAndSinking,20240805,양승 에이-7호,0,0,0,예인선 양승 에이-7호 침몰사건,37.4958,126.6383,floodingAndSinkingType,sinking,126.6383 37.4958
HullAndEngineAccessoryDamage,20240802,콘지호,0,0,0,모터보트 콘지호 기관손상사건,36.7308,126.0425,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.0425 36.7308
StrandingAndGrounding,20240810,창원호,0,0,0,어선 창원호 좌초사건,36.0667,126.4167,strandingAndGroundingType,grounding,126.4167 36.0667
StrandingAndGrounding,20240809,209금영호,0,0,0,어선 209금영호 좌초사건,35.6239,126.3606,strandingAndGroundingType,grounding,126.3606 35.6239
HullAndEngineAccessoryDamage,20240811,힐링피싱호,0,0,0,낚시어선 힐링피싱호 기관손상사건,36.6231,126.2631,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.2631 36.6231
HullAndEngineAccessoryDamage,20240811,다올호,0,0,0,모터보트 다올호 기관손상사건,36.1317,126.4781,hullAndEngineAccessoryDamageType,machineries and propulsion damage,126.4781 36.1317
CollisionAndContact,20240811,용이호,0,0,0,모터보트 용이호 부유물감김사건,37.1558,126.5592,collisionAndContactType,floating object entanglement,126.5592 37.1558
